PAKM
PGLDB
CAiSE
ADBIS
ICUC
EANN
OIC
SAMT
CSSW
ADBIS
CLA
ICCS
eUniverSALearning
KRMED
ITAT
CLA
CAiSEForum
OIC
EuroPLoP
OKCon
TIA
ICT4Justice
ITAT
CILC
ISWC
MAICS
Znalosti
BPM
CIIA
ICBO
CTIC
mLearn
BIR
QUATIC
ICABD
HAICTA
ICAASE
CIISE
NetWordS
BCIAICT
RuSCDays
BDCA
MPMA
DHLU
HDA
RTACSIT
CoRI
GSW
GRID
ITASEC
UkrPROG
IVUS
GamiFIN
SEIM
MMITNT
PosterRecsys
RECOGN
LPKM
APSSE
MOOCMAKER
ITTMM
DHN
CSASE
COLINS
IPERSITNT
SwissText
FTI
SSI
UYMK
IRSC
BDCSIntell
ICT4S
ITNT.IPERS
NESinMIS
LDKPS
EEKM
GraphiCon
BNAIC/BENELEARN
SLET
ISTMC
ITES&MP
Qurator
UDS
DICR
ICID
PoEMForum
NESinMIS
ICAI
ITNTIPERS
ITNTDS
ACSE
ICST
M3E2MLPEED
SAMIoT
MARAMI
IDDM
ISSEP
CPT
IEELMDTE
FSSCIT
ISIC
IMS
ITIDMS
P3M
ITIDMSII
CHR
SDM
SAAMMobility
LALA
SysCom
FTAL
CAiSEDC
ISCIPT
EKAWC
VIPERC
AIoTC
FLAIEC
ALTNLP
CONTEXT07
KCAP
ESWC
ICLKIS
ILP
ICTSS
44JAIIO
TRUST
AAAI
AAAISpringSymposium
ACMDocEng
ACMISS
ACMIUI
ACMTVX
ACM/IEEE10thInternationalConferenceonModelDrivenEngineeringLanguagesandSystems
MODELS
AdvancesinModalLogic
AI*IA
AIAI
AIED
AIIDE
AIME
AIP
AIST
AIxIA
AmI
ArgMining
AVI
BAKS
BalticDB
BalticDB&IS
BalticDB&IS
BalticDB&IS
BCI
BCSSGAI
BDA
BiDU
BPI
BPM
CAISE’10
CAISE'10
CAV
CHI
CHIPLAY
CHItaly
CNIM
CODASPY
CogSci
Colloquium
ESWC
CIKM
COMMA
APTP+MS18
CONTEXT
CORESA
CPAIOR
CPSSS
CSCL
CSD&M
CSDM
CSMR
CVHI
DATAWEEK
DHNandDH
EASSS
ECCBR
ECDL
ECML
ECML/PKDD
ECOWS
ECSA
ECSCW
ECTEL
EDBT/ICDT
EDM
EEWC
eGOV
EGOVCeDEMePart
EICS
EIS
EKAW
EMOOCs
ERF
ESEIW
ESEM
ESORICS
ESWC
ESWEEK
ETAPS
EUROMED
EuropeanMOOCsStakeholdersSubmmit
EuropeanSemanticWebConference
EuroPKIISC
Eusprig
EWSN
FAIM
FederatedArtificialIntelligenceMeeting
FifthInternationalandInterdisciplinaryConferenceonModelingandUsingContext
FIS
FLoC
FLoC/IJCAR
GandALF
FMCAD'13
FOIS
GIScience
GSCL
GWC
HCOMP
HHAI
HLAI
Hypertext
IBERAMIA
ICAIL
iCare7
ICCBR
iConference
ICSOC/ServiceWave
ICSR
ICTIR
ICWS
ICWSM
IEEELATINCOM
IEEEQuantumWeek
IESA
IFIPTM
IJCAI
IJCAR
IJCAIECAI
IJCLR
iKNOW
ILP
INFO
INFOCOM6
INFORMATIK
INFORSID
INTERACT
AVI
KDD
LPNMR
LREC
LSDSIR@SIGIR
MCMEIRM
MENSURA
MKWI
MobileHCI
MobiQuitous
PICST
PLW
PoEM
RecSys
REFSQ
SemanticTrilogy
SEMANTiCS
SEPLN
SETN
SGAI
SIAMAG
SIGIR
SPLC
UCC
UMAP
WSDM
WWW
XBRL
WSMO
Symposium
TCDE
ACM Hypertext 2009
i*
BIIML
UYMS
SYSTEM
SIMPDA
CRoNe
SIIE
CPITS
ISMIS
CCGrid
ESSLLI
ESSoS-DS
Big Data
RIF
Informatik'
VLDB'
SMBM
ISePHR
LBM
the Future Internet Symposium
SMBM
CSWS
ESSoS
YAWL
UYMS
SIMPDA
GSR
SIMBig
SPLST
SMBM
REMS
GamiLearn
MS-AMLV
SEBD
CVCS
PSYCHOBIT
PLNnet-DS
IT&AS
STELLA
IntSol
SSP
ATAIT
CVCS
