Column1,ProceedingsTitle,Proceedings,Vol_Number,Year,persistent_url
781,"Proceedings of the CAISE*00 Workshop on Infrastructure for Dynamic Business-to-Business Service Outsourcing, ISDO '00, Stockholm, Sweden, June 5-6, 2000.",CEUR Workshop Proceedings,30,2000,https://dblp.org/db/conf/isdo/isdo2000.html
808,"ECAI'2000 Workshop on Ontology Learning, Proceedings of the First Workshop on Ontology Learning OL'2000, Berlin, Germany, August 25, 2000. Held in conjunction with the 14th European Conference on Artificial Intelligence ECAI'2000, Berlin, Germany.",CEUR Workshop Proceedings,31,2000,https://dblp.org/db/conf/ecai/ecai2000ol.html
835,"Proceedings of the Seventh Workshop on Automated Reasoning, Bridging the Gap between Theory and Practice, King's College London, UK, 20-21 July 2000.",CEUR Workshop Proceedings,32,2000,https://dblp.org/db/conf/arw/arw2000.html
861,"Proceedings of the 2000 International Workshop on Description Logics (DL2000), Aachen, Germany, August 17-19, 2000.",CEUR Workshop Proceedings,33,2000,https://dblp.org/db/conf/dlog/dlog2000.html
888,"PAKM 2000, Third International Conference on Practical Aspects of Knowledge Management, Proceedings of the Third International Conference, Basel, Switzerland, October 30-31, 2000.",CEUR Workshop Proceedings,34,2000,https://dblp.org/db/conf/pakm/pakm2000.html
915,"Inductive Logic Programming, 10th International Conference, ILP 2000, Work-in-progress reports, London, UK, July 2000, Proceedings.",CEUR Workshop Proceedings,35,2000,https://dblp.org/db/conf/ilp/ilp2000wip.html
942,"Bildverarbeitung für die Medizin 2001: Algorithmen, Systeme, Anwendungen, Workshop Proceedings, Lübeck, Germany, March 4-6, 2001.",CEUR Workshop Proceedings,36,2001,https://dblp.org/db/conf/bildmed/bildmed2001.html
993,"IJCAI'2001 Workshop on Ontology Learning, Proceedings of the Second Workshop on Ontology Learning OL'2001, Seattle, USA, August 4, 2001 (Held in conjunction with the 17th International Conference on Artificial Intelligence IJCAI'2001).",CEUR Workshop Proceedings,38,2001,https://dblp.org/db/conf/ijcai/ijcai2001ol.html
1020,"Proceedings of the 3rd Intl. Workshop on Design and Management of Data Warehouses, DMDW'2001, Interlaken, Switzerland, June 4, 2001.",CEUR Workshop Proceedings,39,2001,https://dblp.org/db/conf/dmdw/dmdw2001.html
1167,"Proceedings of the 8th International Workshop on Knowledge Representation meets Databases (KRDB 2001), Rome, Italy, September 15, 2001.",CEUR Workshop Proceedings,45,2001,https://dblp.org/db/conf/krdb/krdb2001.html
1218,"Proceedings of the IJCAI-01 Workshop on Ontologies and Information Sharing Seattle, USA, August 4-5, 2001.",CEUR Workshop Proceedings,47,2001,https://dblp.org/db/conf/ijcai/ois2001.html
1268,"Working Notes of the 2001 International Description Logics Workshop (DL-2001), Stanford, CA, USA, August 1-3, 2001.",CEUR Workshop Proceedings,49,2001,https://dblp.org/db/conf/dlog/dlog2001.html
1367,"Proceedings of the 2002 International Workshop on Description Logics (DL2002), Toulouse, France, April 19-21, 2002.",CEUR Workshop Proceedings,53,2002,https://dblp.org/db/conf/dlog/dlog2002.html
1394,"Proceedings of the 9th International Workshop on Knowledge Representation meets Databases (KRDB 2002), Toulouse France, April 21, 2002.",CEUR Workshop Proceedings,54,2002,https://dblp.org/db/conf/krdb/krdb2002.html
1421,"Proceedings of the WWW2002 International Workshop on the Semantic Web, Hawaii, May 7, 2002.",CEUR Workshop Proceedings,55,2002,https://dblp.org/db/conf/sww/sww2002.html
1448,"Bildverarbeitung für die Medizin 2002: Algorithmen, Systeme, Anwendungen, Workshop Proceedings, Leipzig, Germany, March 10-12, 2002.",CEUR Workshop Proceedings,56,2002,https://dblp.org/db/conf/bildmed/bildmed2002.html
1475,"AOIS '02, Agent-Oriented Information Systems, Proceedings of the Fourth International Bi-Conference Workshop on Agent-Oriented Information Systems (AOIS-2002 at CAiSE*02).",CEUR Workshop Proceedings,57,2002,https://dblp.org/db/conf/aois/aois2002-1.html
1502,"Design and Management of Data Warehouses 2002, Proceedings of the 4th Intl. Workshop DMDW'2002, Toronto, Canada, May 27, 2002.",CEUR Workshop Proceedings,58,2002,https://dblp.org/db/conf/dmdw/dmdw2002.html
1529,"AOIS '02, Agent-Oriented Information Systems, Proceedings of the Fourth International Bi-Conference Workshop on Agent-Oriented Information Systems (AOIS-2002 at AAMAS*02).",CEUR Workshop Proceedings,59,2002,https://dblp.org/db/conf/aois/aois2002-2.html
1556,"RuleML 2002, Proceedings of the International Workshop on Rule Markup Languages for Business Rules on the Semantic Web, 14 June 2002, Sardinia, Italy (In conjunction with the First International Semantic Web Conference ISWC2002 and hosted by SIG2 of the OntoWeb Network.",CEUR Workshop Proceedings,60,2002,https://dblp.org/db/conf/rml/rml2002.html
1583,"First International Workshop on M-Services - Concepts, Approaches, and Tools, Proceedings of the Workshop at ISMIS'02, Lyon, France, June 26, 2002.",CEUR Workshop Proceedings,61,2002,https://dblp.org/db/conf/mservices/mservices2002.html
1610,"EON2002, Proceedings of the OntoWeb-SIG3 Workshop at the 13th International Conference on Knowledge Engineering and Knowledge Management EKAW 2002, Siguenza (Spain), 30th September 2002.",CEUR Workshop Proceedings,62,2002,https://dblp.org/db/conf/eon/eon2002.html
1757,"WOW2003, Workshop Ontologie-basiertes Wissensmanagement (German Workshop on Ontology-based Knowledge Management), Proceedings, Luzern, 2.-4. April, 2003.",CEUR Workshop Proceedings,68,2003,https://dblp.org/db/conf/wow/wow2003.html
1808,"PGLDB'2003, Proceedings of the I PGL Database Research Conference, Rio de Janeiro, Brazil, April 10-11, 2003.",CEUR Workshop Proceedings,70,2003,https://dblp.org/db/conf/pgldb/pgldb2003.html
1859,"ICSTM2000, International Conference on Systems Thinking in Management, Geelong, Australia, November 8-10, 2000.",CEUR Workshop Proceedings,72,2003,https://dblp.org/db/conf/icstm/icstm2000.html
