item,itemLabel,itemDescription,sVolume,Volume,short_name,dblpProceedingsId,title,language_of_work_or_name,language_of_work_or_nameLabel,URN_NBN,publication_date,described_at_URL,event,eventLabel,eventSeries,eventSeriesLabel,eventSeriesOrdinal,dblpEventId,fullWorkUrl,ppnId,homePage
http://www.wikidata.org/entity/Q113542500,Proceedings of the Workshop on Applied Deep Generative Networks,Proceedings of ADGN 2020 workshop,2692,,ADGN 2020,conf/ecai/2020adgn,Proceedings of the Workshop on Applied Deep Generative Networks,,,urn:nbn:de:0074-2692-5,2020/9/30 0:00,http://ceur-ws.org/Vol-2692/,http://www.wikidata.org/entity/Q113582654,Workshop on Applied Deep Generative Networks,,,,conf/ecai/adgn2020,http://ceur-ws.org/Vol-2692/,1743572786,
http://www.wikidata.org/entity/Q113542498,Proceedings of the Workshop on Hybrid Intelligence for Natural Language Processing Tasks (HI4NLP 2020),Proceedings of HI4NLP 2020 workshop,2693,,HI4NLP 2020,conf/ecai/2020hi4nlp,Proceedings of the Workshop on Hybrid Intelligence for Natural Language Processing Tasks (HI4NLP 2020),,,urn:nbn:de:0074-2693-9,2020/10/1 0:00,http://ceur-ws.org/Vol-2693/,http://www.wikidata.org/entity/Q113582656,Workshop on Hybrid Intelligence for Natural Language Processing Tasks (HI4NLP 2020),,,,conf/ecai/hi4nlp2020,http://ceur-ws.org/Vol-2693/,174367449X,
http://www.wikidata.org/entity/Q113542497,"Proceedings of the 5th Symposium for Young Scientists in Technology, Engineering and Mathematics (SYSTEM 2020)",Proceedings of SYSTEM 2020 workshop,2694,,SYSTEM 2020,,"Proceedings of the 5th Symposium for Young Scientists in Technology, Engineering and Mathematics (SYSTEM 2020)",,,urn:nbn:de:0074-2694-2,2020/10/4 0:00,http://ceur-ws.org/Vol-2694/,http://www.wikidata.org/entity/Q113582657,"5th Symposium for Young Scientists in Technology, Engineering and Mathematics",,,,,http://ceur-ws.org/Vol-2694/,1743675356,
http://www.wikidata.org/entity/Q113542495,Proceedings of the Third Workshop on Humanities in the Semantic Web (WHiSe 2020),Proceedings of WHiSe 2020 workshop,2695,,WHiSe 2020,conf/esws/2020whise,Proceedings of the Third Workshop on Humanities in the Semantic Web (WHiSe 2020),,,urn:nbn:de:0074-2695-6,2020/10/5 0:00,http://ceur-ws.org/Vol-2695/,http://www.wikidata.org/entity/Q113582658,Third Workshop on Humanities in the Semantic Web (WHiSe 2020),,,,conf/esws/whise2020,http://ceur-ws.org/Vol-2695/,1743676018,
http://www.wikidata.org/entity/Q113542494,Working Notes of CLEF 2020 - Conference and Labs of the Evaluation Forum,Proceedings of CLEF 2020 workshop,2696,,CLEF 2020,conf/clef/2020w,Working Notes of CLEF 2020 - Conference and Labs of the Evaluation Forum,,,urn:nbn:de:0074-2696-0,2020/10/21 0:00,http://ceur-ws.org/Vol-2696/,http://www.wikidata.org/entity/Q113582660,CLEF 2020 - Conference and Labs of the Evaluation Forum,,,,conf/clef/clef2020w,http://ceur-ws.org/Vol-2696/,1743677677,
http://www.wikidata.org/entity/Q113542493,Proceedings of the Workshops on Recommendation in Complex Scenarios and the Impact of Recommender Systems,Proceedings of ComplexRec-ImpactRS 2020 workshop,2697,,ComplexRec-ImpactRS 2020,conf/recsys/2020ci,Proceedings of the Workshops on Recommendation in Complex Scenarios and the Impact of Recommender Systems,,,urn:nbn:de:0074-2697-3,2020/10/12 0:00,http://ceur-ws.org/Vol-2697/,http://www.wikidata.org/entity/Q113582661,Workshops on Recommendation in Complex Scenarios and the Impact of Recommender Systems,,,,conf/recsys/ci2020,http://ceur-ws.org/Vol-2697/,1743682174,
http://www.wikidata.org/entity/Q113542492,Proceedings of the Information Society and University Studies 2020,Proceedings of IVUS 2020 workshop,2698,,IVUS 2020,conf/ivus/2020,Proceedings of the Information Society and University Studies 2020,,,urn:nbn:de:0074-2698-7,2020/10/15 0:00,http://ceur-ws.org/Vol-2698/,http://www.wikidata.org/entity/Q113582662,Information Society and University Studies 2020,,,,conf/ivus/ivus2020,http://ceur-ws.org/Vol-2698/,1743682956,
http://www.wikidata.org/entity/Q100326457,Proceeding of the CIKM 2020 Workshops,Proceedings of CIKMW2020 workshop,2699,,CIKMW2020,conf/cikm/2020w,Proceedings of the CIKM 2020 Workshops,http://www.wikidata.org/entity/Q1860,English,urn:nbn:de:0074-2699-4,2020/10/15 0:00,http://ceur-ws.org/Vol-2699/,http://www.wikidata.org/entity/Q98083516,Combining Symbolic and Sub-symbolic methods and their Applications,,,,,http://ceur-ws.org/Vol-2699/,1743738730,
http://www.wikidata.org/entity/Q113542490,Proceedings of the Workshop on Automation Experience across Domains,Proceedings of AutomationXP 2020 workshop,2700,,AutomationXP 2020,conf/chi/2020axp,Proceedings of the Workshop on Automation Experience across Domains,,,urn:nbn:de:0074-2700-6,2020/10/15 0:00,http://ceur-ws.org/Vol-2700/,http://www.wikidata.org/entity/Q113581994,Workshop on Automation Experience across Domains,,,,conf/chi/axp2020,http://ceur-ws.org/Vol-2700/,1743740468,
http://www.wikidata.org/entity/Q113542489,Eleventh International Workshop on Agents in Traffic and Transportation,Proceedings of ATT 2020 workshop,2701,,ATT 2020,conf/ecai/2020att,Eleventh International Workshop on Agents in Traffic and Transportation,,,urn:nbn:de:0074-2701-9,2020/10/15 0:00,http://ceur-ws.org/Vol-2701/,http://www.wikidata.org/entity/Q113581996,Eleventh International Workshop on Agents in Traffic and Transportation,,,,conf/ecai/att2020,http://ceur-ws.org/Vol-2701/,1744221448,
