Threashold,Precision,Recall
0.05,0.90625,0.4027777777777778
0.1,0.90625,0.4027777777777778
0.15,0.9090909090909091,0.410958904109589
0.2,0.8648648648648649,0.4266666666666667
0.25,0.8918918918918919,0.44
0.3,0.9024390243902439,0.49333333333333335
0.35,0.9230769230769231,0.48
0.4,0.9210526315789473,0.4666666666666667
0.45,0.925,0.49333333333333335
0.5,0.9210526315789473,0.4666666666666667
0.55,0.918918918918919,0.4533333333333333
0.6,0.918918918918919,0.4533333333333333
0.65,0.9142857142857143,0.43243243243243246
0.7,0.9117647058823529,0.4189189189189189
0.75,0.9090909090909091,0.410958904109589
0.8,0.9032258064516129,0.3888888888888889
0.85,0.9032258064516129,0.3888888888888889
0.9,0.9,0.375
0.95,0.9,0.375
1.0,0.9,0.375
